ITEM ID  DE  LA MATRIZ ;Código ADN Clínico-Funcional ;MODELO;CLASIFICACIÓN GENERAL;AGRUPADOR;DISPARADOR (Actividad, Función, Cargo, Examen Médico, Sistema, Hallazgo Clínico, Laboratorio Clínico);SISTEMA;COMPONENTE;SUBCOMPONENTE O CARACTERÍSTICA ANATÓMICA/FISIOLÓGICA (CON LATERALIDAD);VALORACIÓN ESPECÍFICA;CONDICIÓN CLÍNICA MÉDICA;HALLAZGO ESPERADO;ACCIÓN RECOMENDADA;INTERPRETACIÓN CLÍNICA;SEGUIMIENTO POR ESPECIALISTA;ESTADO DE APTITUD LABORAL;ACCIÓN RECOMENDADA IA (PLN/NLP)
1003;VAERSIN-15-079;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Vías Aéreas y Senos Paranasales (16);sinusitis_fúngica_alérgica/senos_paranasales/no_aplica_lateralidad;Tomografía (TAC) que muestra opacificación heterogénea de múltiples senos paranasales. Cultivos y análisis de la mucina alérgica para confirmar presencia de hongos (ej. Aspergillus).;Diagnóstico/Sinusitis fúngica alérgica/Senos Paranasales/No Aplica Lateralidad;El TAC muestra opacificación heterogénea de múltiples senos paranasales. Los cultivos y el análisis de la mucina alérgica confirman la presencia de hongos.;Cirugía endoscópica para remover el material fúngico. Tratamiento postoperatorio con corticoides e inmunoterapia. Reubicación de puestos con alta humedad o exposición a mohos.;Es una reacción de hipersensibilidad severa que requiere manejo quirúrgico y control ambiental estricto. La exposición laboral a hongos puede desencadenar una recurrencia agresiva, siendo una contraindicación formal para el puesto actual.;Otorrinolaringología (ORL), Alergología/Inmunología;Apto con Restricciones (evitar exposición a humedad y mohos);Si te diagnosticaron sinusitis por hongos, necesitas una cirugía y tratamiento. No puedes trabajar en lugares con alta humedad o donde haya moho, ya que esto podría empeorar la condición.
1004;VAERMAX-15-080;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Vías Aéreas y Senos Paranasales (16);sinusitis_maxilar_aguda/seno_maxilar/derecho;Tomografía (TAC) de senos paranasales. El examen visual y palpación en la región maxilar para identificar dolor. La rinoscopia anterior para verificar la presencia de secreción purulenta.;Diagnóstico/Sinusitis maxilar aguda/Seno Maxilar/Derecho;El TAC evidencia velamiento completo del seno maxilar derecho. El paciente presenta cefalea facial y presión en la región, con secreción purulenta. Los niveles hidroaéreos en la tomografía son un signo clave.;Antibioticoterapia, descongestionantes y analgésicos. Incapacidad temporal si los síntomas son severos. Se recomienda evitar cambios bruscos de presión como en vuelos, buceo o trabajos en altura hasta la resolución del cuadro.;El proceso infeccioso agudo en el seno maxilar derecho genera dolor incapacitante. Interfiere con la concentración y la capacidad para realizar tareas que requieran esfuerzo físico o atención sostenida. Requiere reposo para su recuperación.;Médico General, Otorrinolaringología (ORL);No Apto Temporal (hasta resolución del cuadro agudo);Si tienes sinusitis aguda en el seno derecho, necesitas antibióticos y analgésicos. La condición genera dolor, así que necesitas incapacidad temporal para descansar y recuperarte. Evita vuelos o bucear por un tiempo.
1005;VAERPOL-15-081;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Vías Aéreas y Senos Paranasales (16);poliposis_nasosinusal/rinorrea_y_obstrucción/bilateral;Endoscopia nasal para visualizar múltiples pólipos. Se requiere pruebas de alergia para identificar el alérgeno. La Tomografía (TAC) confirma la poliposis.;Diagnóstico/Poliposis nasosinusal/Senos Paranasales/Bilateral;Endoscopia nasal que muestra múltiples pólipos blanquecinos ocupando ambas fosas nasales. No aplica lateralidad a la condición sistémica. La rinorrea crónica y la sensación de obstrucción nasal bilateral son los hallazgos clínicos.;Manejo con corticoides sistémicos o intranasales. Remisión a ORL para valoración quirúrgica. Reubicación laboral a un área sin exposición a alérgenos conocidos como las harinas o irritantes.;La poliposis bilateral causa obstrucción nasal severa e hiposmia, afectando el bienestar general. La capacidad para detectar olores puede ser crítica en roles como cocinero o catador, y la exposición exacerba la condición.;Otorrinolaringología (ORL), Alergología, Medicina Laboral;Apto con Restricciones (evitar exposición a alérgenos);Si tienes pólipos en la nariz por exposición a harinas, necesitas medicamentos o una cirugía. Es vital que te cambien de puesto de trabajo a uno sin alérgenos. Esto ayudará a mejorar tus síntomas y a estar más cómodo.
1006;BRONBRO-15-082;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Bronquios y Vías Respiratorias (11);epitelio_bronquial/inflamación_crónica/no_aplica_lateralidad;Espirometría para evaluar el patrón obstructivo leve a moderado. Anamnesis para confirmar tos y expectoración por más de tres meses al año durante dos años consecutivos.;Diagnóstico/Bronquitis Crónica/Bronquios/No Aplica Lateralidad;Espirometría con patrón obstructivo leve a moderado (VEF1/CVF < 0.70). Anamnesis que confirma los síntomas crónicos de tos y expectoración. No se observa daño radiológico.;Cesación tabáquica. Evitar irritantes. Tratamiento broncodilatador si hay obstrucción. Fisioterapia respiratoria. Vacunación (influenza, neumococo). Educación sobre autocuidado.;Es una inflamación crónica de las vías aéreas que disminuye la tolerancia a ambientes con polvos o humos y a esfuerzos moderados. Tiene un riesgo de infecciones recurrentes. El cese de irritantes es fundamental.;Neumología, Medicina Interna, Medicina Laboral;Apto con Restricciones (evitar irritantes y esfuerzo excesivo);Si tienes tos y flema crónica, es importante dejar de fumar y evitar el humo o polvo. El médico puede darte un broncodilatador si lo necesitas. Puedes trabajar con restricciones, cuidando tus pulmones.
1007;DIAPENM-15-083;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Diafragma y Pleura (16);musculatura_respiratoria/debilidad_progresiva/no_aplica_lateralidad;Espirometría para medir la Capacidad Vital Forzada (CVF) y Capacidad Pulmonar Total (CPT). Se requiere electromiografía para valorar la debilidad de la musculatura respiratoria.;Diagnóstico/Enfermedad Neuromuscular/Musculatura Respiratoria/No Aplica Lateralidad;Patrón restrictivo en la espirometría con disminución de la CVF y CPT debido a la debilidad de los músculos respiratorios. El hallazgo clave es la debilidad progresiva de la musculatura.;Manejo por Neurología. Fisioterapia respiratoria. Ventilación no invasiva. Vigilancia de la insuficiencia respiratoria. Se requiere una evaluación continua del estado de salud.;La debilidad progresiva de los músculos respiratorios compromete la capacidad de ventilación. Limita drásticamente la capacidad para cualquier esfuerzo físico y requiere soporte ventilatorio en fases avanzadas. Es una condición de salud muy grave.;Neurología, Neumología, Medicina de Rehabilitación, Medicina Laboral;No Apto Definitivo (incapacidad progresiva);Si tienes una enfermedad neuromuscular, tu capacidad para respirar puede disminuir con el tiempo. Esto te limita para hacer cualquier trabajo físico y necesitarás soporte de respiración. Requiere incapacidad.
1008;BRONBQT-15-084;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Bronquios y Vías Respiratorias (11);pared_bronquial/dilatación/no_aplica_lateralidad;Espirometría para determinar la capacidad pulmonar. Se requiere Tomografía de Alta Resolución (TACAR) para confirmar la dilatación bronquial. La auscultación pulmonar para identificar sibilancias es un hallazgo clínico.;Diagnóstico/Bronquiectasias/Bronquio/No Aplica Lateralidad;Patrón obstructivo leve en la espirometría. Tos y expectoración intermitente. El TACAR de tórax confirma la dilatación bronquial. El examen físico puede ser normal o con sibilancias ocasionales.;Fisioterapia respiratoria para higiene bronquial. Antibióticos en exacerbaciones. Vacunación contra influenza y neumococo. Evitar irritantes, humos y tabaco.;La dilatación bronquial no genera limitación funcional significativa en las fases iniciales, pero requiere higiene bronquial y vigilancia para prevenir infecciones recurrentes, que podrían empeorar el estado del paciente.;Neumología, Fisioterapia Respiratoria;Apto con Restricciones (con recomendaciones de autocuidado);Si tienes bronquiectasias, tus pulmones pueden tener un patrón obstructivo leve. Es importante que evites infecciones y te hagas una fisioterapia respiratoria. Puedes trabajar con autocuidado, sin restricción severa.
1009;PULMSEC-15-085;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Parénquima Pulmonar y Otros (16);tejido_pulmonar/fibrosis_residual/no_aplica_lateralidad;Espirometría. Se requiere una prueba de difusión de monóxido de carbono (DLCO) para evaluar el intercambio gaseoso. Se deben realizar radiografía de tórax y Tomografía de Tórax si se sospechan secuelas.;Diagnóstico/Secuelas de Neumonía/Parénquima Pulmonar/No Aplica Lateralidad;Patrón restrictivo o mixto en la espirometría, dependiendo de la extensión del daño pulmonar. La DLCO puede estar disminuida. La radiografía o tomografía de tórax confirma las secuelas.;Rehabilitación pulmonar para mejorar la función. Control por Neumología. Vigilancia de infecciones recurrentes y prevención de la exposición a ambientes con irritantes.;El daño pulmonar residual de una neumonía severa puede limitar la capacidad de esfuerzo físico y la exposición a ambientes con irritantes. Requiere seguimiento para determinar la recuperación completa y la aptitud.;Neumología, Medicina Interna, Medicina Laboral;Apto con Restricciones (temporal);Si tuviste una neumonía grave, puede que tus pulmones no funcionen tan bien como antes. Necesitas rehabilitación para mejorar y debes evitar irritantes. Tu aptitud es temporal hasta que te recuperes.
1010;BRONDIL-15-086;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Bronquios y Vías Respiratorias (11);pared_bronquial/dilatación_moderada/no_aplica_lateralidad;Espirometría para evaluar la disminución moderada del VEF1. Se requiere Tomografía de Alta Resolución (TACAR) para confirmar la dilatación bronquial. Se debe realizar cultivo de esputo si hay infecciones recurrentes.;Diagnóstico/Bronquiectasias/Bronquio/No Aplica Lateralidad;Patrón obstructivo con disminución moderada del VEF1. Tos y expectoración crónica. Infecciones recurrentes. El TACAR de tórax muestra la dilatación bronquial.;Fisioterapia respiratoria regular. Antibióticos en exacerbaciones. Broncodilatadores. Vacunación. Se recomienda una evaluación de la exposición a irritantes, gases y químicos en el ambiente laboral.;La dilatación bronquial genera una limitación funcional moderada, que afecta la tolerancia al esfuerzo físico y predispone a infecciones. La higiene bronquial constante es fundamental.;Neumología, Fisioterapia Respiratoria, Infectología;Apto con Restricciones (evitar irritantes);Si tus bronquios están moderadamente dilatados, esto te afecta la capacidad para el ejercicio y te predispone a infecciones. Es clave que te cuides con fisioterapia respiratoria, medicamentos y evites ambientes con irritantes.
1011;PULMCIR-15-087;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Parénquima Pulmonar y Otros (16);parénquima_pulmonar/secuelas_quirúrgicas/no_aplica_lateralidad;Espirometría para determinar la capacidad vital forzada y la capacidad pulmonar total. Se debe realizar una radiografía de tórax para evaluar la extensión de la resección pulmonar si se dio.;Diagnóstico/Secuelas de Cirugía Torácica/Pulmón/No Aplica Lateralidad;Patrón restrictivo en la espirometría (disminución de CVF y CPT), especialmente si hubo resección pulmonar. La severidad depende de la extensión de la cirugía. La radiografía muestra cambios posquirúrgicos.;Fisioterapia respiratoria. Rehabilitación pulmonar. Control post-quirúrgico por Neumología. Se recomienda reevaluación de la aptitud laboral al cabo de un tiempo determinado.;La cirugía de tórax puede dejar una limitación funcional residual. Esto afecta la capacidad para el esfuerzo físico y trabajos que demanden la expansión pulmonar completa, como en buceo o con cambios de presión.;Neumología, Cirugía de Tórax, Medicina de Rehabilitación, Medicina Laboral;Apto con Restricciones (temporal o permanente);Si te operaron el tórax, puede que tu capacidad pulmonar haya disminuido. Necesitas fisioterapia para recuperarte. Puedes trabajar con restricciones, pero el médico te evaluará para saber si son temporales o permanentes.
1012;BRONASM-15-088;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Bronquios y Vías Respiratorias (11);epitelio_bronquial/inflamación_crónica/no_aplica_lateralidad;Espirometría para evaluar el VEF1 (<60% del predicho). Se requiere valoración por Alergología para identificar posibles desencadenantes alérgicos. Se debe evaluar la respuesta a tratamiento.;Diagnóstico/Asma Bronquial Severa/Bronquios/No Aplica Lateralidad;El VEF1 es menor del 60% del predicho. Síntomas de asma continuos a pesar del tratamiento máximo. Exacerbaciones frecuentes que requieren atención médica urgente.;Tratamiento biológico. Corticosteroides orales. Plan de acción para exacerbaciones. Evitar desencadenantes. Se requiere una evaluación exhaustiva de los desencadenantes ambientales en el trabajo.;Es un compromiso severo de la función pulmonar que limita drásticamente la capacidad para el esfuerzo físico. La exposición a cualquier irritante o alérgeno es un factor de riesgo. Hay un alto riesgo de crisis y ausentismo.;Neumología, Alergología, Medicina Laboral;Apto con Restricciones/No apto temporal;Si tienes asma severa, tu función pulmonar está muy limitada. Necesitas tratamiento especializado y evitar cualquier cosa que te desencadene una crisis. Por tu seguridad, algunas labores físicas o con irritantes están restringidas.
1013;DIAPHIP-15-089;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Diafragma y Pleura (16);pared_torácica_y_diafragma/limitación_mecánica/no_aplica_lateralidad;Espirometría para evaluar el patrón restrictivo. Se requiere polisomnografía si se sospecha apnea del sueño. Se debe evaluar el índice de masa corporal y el perímetro abdominal.;Diagnóstico/Hipoventilación por Obesidad/Diafragma/No Aplica Lateralidad;Patrón restrictivo leve a moderado en la espirometría. Disminución de la CVF y CPT por la limitación mecánica de la pared torácica y el diafragma. No hay otros hallazgos.;Control de peso. CPAP o BiPAP nocturno si hay apnea del sueño. Ejercicio físico. Rehabilitación pulmonar. Se requiere una evaluación del puesto de trabajo para adaptarlo a la condición.;La obesidad severa puede comprometer la función pulmonar, limitando la tolerancia al esfuerzo y aumentando el riesgo de hipoxemia. Esto es grave para trabajos que demanden gran actividad física o posturas forzadas.;Neumología, Endocrinología, Nutrición, Medicina Laboral;Apto con Restricciones (evitar esfuerzo físico y posturas forzadas);Si la obesidad te dificulta respirar, esto limita tu capacidad para hacer trabajos con mucho esfuerzo o en posturas difíciles. Es importante que controles tu peso y hagas ejercicio.
1014;DIAPENG-15-090;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Diafragma y Pleura (16);pleural/engrosamiento_o_derrame/no_aplica_lateralidad;Espirometría para evaluar el patrón restrictivo. Se requiere radiografía o tomografía de tórax para confirmar la patología pleural. Toracocentesis si se sospecha derrame pleural.;Diagnóstico/Engrosamiento Pleural/Pleura/No Aplica Lateralidad;Patrón restrictivo en la espirometría. La disminución de la CVF y CPT se debe a la limitación de la expansión pulmonar. La radiografía de tórax confirma el engrosamiento o el derrame.;Drenaje de derrame si es necesario. Tratamiento de la causa subyacente. Fisioterapia respiratoria para mejorar la expansión. Se debe realizar una evaluación de la exposición a irritantes.;La limitación de la expansión pulmonar reduce la capacidad para el esfuerzo físico. Esto afecta especialmente en trabajos que requieren movimientos amplios del tórax o posturas forzadas. Requiere seguimiento.;Neumología, Cirugía de Tórax, Medicina Laboral;Apto con Restricciones (evitar esfuerzo físico y posturas forzadas);Si tienes un problema en la pleura (la membrana que recubre el pulmón), puede que te cueste hacer esfuerzos físicos. Es importante que te cuides y evites movimientos fuertes para que tus pulmones se recuperen.
1015;BRONASI-15-091;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Bronquios y Vías Respiratorias (11);epitelio_bronquial/inflamación_intermitente/no_aplica_lateralidad;Espirometría para evaluar el VEF1 (>80% del predicho). Se debe realizar pruebas de alergia para identificar desencadenantes. La variabilidad del VEF1 se evalúa en mediciones repetidas.;Diagnóstico/Asma Bronquial Intermitente/Bronquios/No Aplica Lateralidad;Espirometría normal en periodos intercríticos (VEF1 ? 80% del predicho). Variabilidad del VEF1 > 10-12% entre mediciones. Los síntomas son esporádicos y están relacionados con los desencadenantes.;Broncodilatadores de acción corta solo para rescate. Identificar y evitar desencadenantes. Educación sobre plan de acción. Se debe realizar una evaluación de la exposición a alérgenos en el trabajo.;La función pulmonar es normal la mayor parte del tiempo. Las restricciones laborales son mínimas, enfocadas en evitar desencadenantes específicos. El autocuidado es fundamental para prevenir crisis.;Medicina General, Neumología, Alergología;Apto sin Restricciones (con recomendaciones de autocuidado);Si tienes asma intermitente, tus pulmones están bien la mayor parte del tiempo. Solo necesitas usar un inhalador de rescate cuando lo necesites y evitar los desencadenantes. Puedes trabajar normalmente con autocuidado.
1016;PULMSDR-15-092;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Parénquima Pulmonar y Otros (16);parénquima_pulmonar/fibrosis_residual/no_aplica_lateralidad;Espirometría y prueba de difusión de monóxido de carbono (DLCO). La tomografía de tórax de alta resolución (TACAR) permite evaluar la fibrosis pulmonar.;Diagnóstico/Secuelas de SDRA/Parénquima Pulmonar/No Aplica Lateralidad;Patrón restrictivo en la espirometría. Disminución de la CVF y CPT. DLCO disminuida. La TACAR de tórax confirma la fibrosis pulmonar residual. Puede haber patrón obstructivo.;Rehabilitación pulmonar intensiva. Control por Neumología. Oxigenoterapia si es necesaria. Evaluación de capacidad funcional residual y reincorporación laboral progresiva.;El daño pulmonar severo y permanente reduce significativamente la capacidad para el esfuerzo físico y la tolerancia a ambientes con bajas concentraciones de oxígeno. La reincorporación debe ser progresiva y vigilada.;Neumología, Medicina de Rehabilitación, Medicina Laboral;Apto con Restricciones (temporales)/No apto temporal;Si tuviste un daño pulmonar grave, es posible que te cueste hacer esfuerzos físicos. Necesitas rehabilitación y control médico para ver tu capacidad funcional. Tu aptitud puede ser con restricciones, y se debe evaluar si son temporales.
1017;DIAPNEU-15-093;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Diafragma y Pleura (16);pleural/fibrosis_o_engrosamiento/no_aplica_lateralidad;Espirometría para evaluar el patrón restrictivo. Se requiere radiografía de tórax para descartar fibrosis o engrosamiento pleural residual. El examen físico puede ser normal o con asimetría en la expansión.;Diagnóstico/Secuelas de Neumotórax/Pleura/No Aplica Lateralidad;Patrón restrictivo en la espirometría si hay fibrosis o engrosamiento pleural. Disminución de la CVF y CPT. El examen físico puede ser normal si la resolución fue completa.;Control por Neumología. Fisioterapia respiratoria. Vigilancia de recurrencias. Se debe realizar una evaluación de la exposición a cambios de presión en el ambiente laboral.;El neumotórax puede dejar una limitación funcional residual. Esto afecta la capacidad para el esfuerzo físico y la exposición a cambios de presión, como en el buceo o en vuelos. Requiere seguimiento para determinar la aptitud.;Neumología, Cirugía de Tórax, Medicina Laboral;Apto con Restricciones (temporal o permanente);Si tuviste un neumotórax, puede que tu capacidad pulmonar haya disminuido. Necesitas fisioterapia para recuperarte y un control médico para evitar recurrencias. Evita cambios de presión bruscos, como en buceo o vuelos.
1018;PULMASB-15-094;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Parénquima Pulmonar y Otros (16);parénquima_pulmonar/fibrosis/no_aplica_lateralidad;Espirometría, prueba de difusión de monóxido de carbono (DLCO), radiografía de tórax y tomografía (TAC) de alta resolución. Se debe realizar anamnesis de exposición a asbesto y control de biomarcadores.;Diagnóstico/Asbestosis/Parénquima Pulmonar/No Aplica Lateralidad;Patrón restrictivo con disminución moderada de CVF y CPT. DLCO moderadamente disminuida. La radiografía y TAC muestran fibrosis pulmonar.;Cese definitivo de la exposición al asbesto. Vigilancia oncológica. Tratamiento de soporte. Evaluación de reubicación o incapacidad permanente.;El daño pulmonar y pleural es irreversible y tiene un alto riesgo de malignidad. Limita la capacidad funcional para el esfuerzo físico y prohíbe la reexposición. La reubicación es obligatoria para detener la progresión.;Neumología, Oncología, Medicina Laboral;Apto con Restricciones (reubicación obligatoria)/No apto definitivo;Si tienes asbestosis por exposición al asbesto, el daño en tus pulmones es irreversible. No puedes volver a exponerte a ese material. Es necesario que te reubiquen o, en casos graves, que se defina tu incapacidad.
1019;PULMFIB-15-095;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Parénquima Pulmonar y Otros (16);parénquima_pulmonar/fibrosis_severa/no_aplica_lateralidad;Espirometría y prueba de difusión de monóxido de carbono (DLCO). Se requiere Tomografía (TAC) de tórax para evaluar la extensión de la fibrosis. Se debe evaluar la necesidad de oxigenoterapia.;Diagnóstico/Fibrosis Pulmonar Idiopática/Parénquima Pulmonar/No Aplica Lateralidad;Disminución de la CVF (<50% del predicho). DLCO severamente disminuida. Insuficiencia respiratoria. La tomografía muestra fibrosis pulmonar severa, especialmente en las bases.;Oxigenoterapia crónica. Rehabilitación pulmonar. Evaluación para trasplante. Cuidados paliativos. Se debe realizar una evaluación de la capacidad funcional de manera continua.;El compromiso severo e irreversible de la función pulmonar incapacita para la mayoría de las actividades, y requiere soporte de oxígeno. Limita drásticamente la capacidad de esfuerzo físico.;Neumología, Cirugía de Tórax, Medicina Laboral;No Apto Definitivo (incapacidad);Si tienes fibrosis pulmonar severa, tus pulmones no pueden funcionar bien y esto es irreversible. Necesitas oxígeno para respirar y no puedes hacer casi ninguna actividad. Requieres incapacidad permanente.
1020;DIAPDIS-15-096;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Diafragma y Pleura (16);diafragma/debilidad_o_parálisis/no_aplica_lateralidad;Espirometría para evaluar el patrón restrictivo, especialmente en posición supina. Se requiere fluroscopia para visualizar el movimiento diafragmático y electromiografía para valorar la debilidad.;Diagnóstico/Disfunción Diafragmática/Diafragma/No Aplica Lateralidad;Patrón restrictivo en la espirometría. La disminución de la CVF empeora en posición supina. La fluroscopia muestra un movimiento anormal o ausente del diafragma.;Diagnóstico etiológico. Fisioterapia respiratoria. Ventilación no invasiva si hay insuficiencia respiratoria. Cirugía (plicatura diafragmática) en casos seleccionados.;La debilidad o parálisis del diafragma compromete la capacidad de ventilación. Limita severamente trabajos con esfuerzo físico o posturas prolongadas. Es una condición de salud muy grave.;Neumología, Neurología, Cirugía de Tórax, Medicina Laboral;Apto con Restricciones/No apto temporal;Si tu diafragma está débil, te costará respirar, sobre todo acostado. Necesitas fisioterapia y, en algunos casos, cirugía. Tu capacidad de trabajo es limitada, especialmente en trabajos con esfuerzo físico o en posturas prolongadas.
1021;BRONBQI-15-097;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Bronquios y Vías Respiratorias (11);pared_bronquial/dilatación_irregular/no_aplica_lateralidad;Tomografía (TAC) de tórax de alta resolución para confirmar la dilatación bronquial. La espirometría ayuda a determinar si hay patrón obstructivo y su severidad.;Diagnóstico/Bronquiectasias/Bronquiolo/No Aplica Lateralidad;Patrón obstructivo en la espirometría. La tos con hipersecreción mucosa es crónica. Se observa dilatación bronquial irreversible en la Tomografía. Infecciones recurrentes y disnea.;Manejo de la infección subyacente. Drenaje postural y fisioterapia para la higiene bronquial. Antibioticoterapia en exacerbaciones. Broncodilatadores.;Es una dilatación bronquial irreversible que predispone a infecciones crónicas y exacerbaciones. Limita la capacidad física por disnea y tos productiva constante, lo cual es muy grave.;Neumología, Fisioterapia Respiratoria, Infectología;Apto con Restricciones (evitar irritantes);Si tus bronquios están dilatados, puedes tener infecciones seguidas y sentir que te falta el aire. Necesitas medicamentos, fisioterapia respiratoria y evitar irritantes. Puedes trabajar, pero con restricciones.
1022;PULMNEU-15-098;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Parénquima Pulmonar y Otros (16);intersticio_pulmonar/fibrosis_progresiva/no_aplica_lateralidad;Espirometría y prueba de difusión de monóxido de carbono (DLCO). Se requiere Tomografía (TAC) de tórax de alta resolución. Se debe realizar anamnesis de exposición a antígenos.;Diagnóstico/Neumonitis por Hipersensibilidad Crónica/Pulmón/No Aplica Lateralidad;Patrón restrictivo progresivo en la espirometría. Disminución de la CVF y CPT. DLCO disminuida. La tomografía muestra fibrosis pulmonar.;Cese inmediato y completo de la exposición al antígeno. Corticosteroides. Inmunosupresores. Oxigenoterapia. Rehabilitación pulmonar.;La reacción inflamatoria crónica del pulmón a antígenos inhalados lleva a fibrosis. Limita progresivamente la capacidad funcional y requiere evitar la exposición al agente causal de manera permanente.;Neumología, Medicina Laboral, Alergología;Apto con Restricciones (reubicación obligatoria)/No apto definitivo;Si la exposición a un antígeno te causó una neumonitis con fibrosis, debes dejar de estar expuesto a ese material de forma inmediata y permanente. La condición puede progresar, así que requieres reubicación laboral o incapacidad.
1023;PULMEPI-15-099;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Parénquima Pulmonar y Otros (16);intersticio_pulmonar/deterioro_progresivo/no_aplica_lateralidad;Espirometría y prueba de difusión de monóxido de carbono (DLCO). Se requiere Tomografía (TAC) de alta resolución y pruebas de reumatología para descartar causas autoinmunes.;Diagnóstico/Enfermedad Pulmonar Intersticial (EPI)/Pulmón/No Aplica Lateralidad;Patrón restrictivo en la espirometría. Disminución de la CVF y CPT. La DLCO está disminuida. La tomografía muestra cambios intersticiales. Puede haber obstrucción.;Manejo por Neumología. Identificación y eliminación de la causa. Tratamiento inmunosupresor o antifibrótico. Oxigenoterapia y rehabilitación pulmonar.;El deterioro progresivo de la capacidad pulmonar limita severamente el esfuerzo físico y la tolerancia a ambientes con irritantes. Es una condición de salud muy grave y con riesgo de insuficiencia respiratoria.;Neumología, Reumatología, Medicina Laboral;Apto con Restricciones/No apto definitivo;Si tus pulmones tienen un deterioro progresivo, te costará hacer esfuerzos físicos y tolerar irritantes. Necesitas un manejo médico estricto y la aptitud puede ser con restricciones o, en casos graves, una incapacidad.
1024;PULMSIL-15-100;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Parénquima Pulmonar y Otros (16);parénquima_pulmonar/fibrosis_nodular/no_aplica_lateralidad;Espirometría. Se requiere radiografía de tórax y tomografía de tórax de alta resolución. Se debe realizar anamnesis detallada de la exposición a sílice y otros polvos.;Diagnóstico/Silicosis/Parénquima Pulmonar/No Aplica Lateralidad;Patrón restrictivo o mixto con disminución moderada de CVF o VEF1. La radiografía de tórax muestra pequeños nódulos en los campos superiores y medios.;Cese definitivo de la exposición. Manejo sintomático. Vigilancia de complicaciones. Evaluación de reubicación o incapacidad.;El daño pulmonar irreversible limita la capacidad funcional. Prohíbe cualquier reexposición al agente causal. La reubicación es obligatoria, y en casos avanzados se requiere la incapacidad.;Neumología, Medicina Laboral;Apto con Restricciones (reubicación obligatoria)/No apto definitivo;Si tienes silicosis por exposición a sílice, tus pulmones están dañados de forma irreversible. No puedes volver a exponerte a ese polvo. Necesitas reubicación obligatoria, o en casos graves, se define incapacidad.
1025;PULMENF-15-101;1;Sistemas Anatómico-Funcionales del Cuerpo Humano;;;sistema_respiratorio;Parénquima Pulmonar y Otros (16);parénquima_pulmonar/destrucción_alveolar/no_aplica_lateralidad;Espirometría para evaluar el patrón obstructivo severo (VEF1 muy disminuido). Se requiere Tomografía (TAC) de tórax para evaluar la destrucción del parénquima.;Diagnóstico/Enfisema Pulmonar/Parénquima Pulmonar/No Aplica Lateralidad;Patrón obstructivo severo en la espirometría (VEF1 muy disminuido). Aumento de la Capacidad Pulmonar Total (CPT) y Volumen Residual (VR) por atrapamiento aéreo.;Cesación tabáquica. Broncodilatadores. Rehabilitación pulmonar. Oxigenoterapia a largo plazo. Cirugía de reducción de volumen pulmonar o trasplante en casos seleccionados.;La destrucción irreversible del parénquima pulmonar genera una limitación severa y progresiva del flujo aéreo. Reduce drásticamente la tolerancia al esfuerzo físico y la capacidad para trabajos físicos.;Neumología, Cirugía de Tórax, Medicina Laboral;Apto con Restricciones/No apto definitivo;Si tienes enfisema por fumar, tus pulmones están dañados de forma irreversible. Te costará mucho hacer cualquier trabajo físico y necesitarás oxígeno. Requieres dejar de fumar, tratamiento y, en casos graves, una incapacidad.
